Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1993","1993","hg/ha","23392","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1994","1994","hg/ha","22597","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1995","1995","hg/ha","23764","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1996","1996","hg/ha","24180","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1997","1997","hg/ha","26161","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1998","1998","hg/ha","25174","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1999","1999","hg/ha","26502","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2000","2000","hg/ha","25984","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2001","2001","hg/ha","26010","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2002","2002","hg/ha","26223","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2003","2003","hg/ha","25941","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2004","2004","hg/ha","26801","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2005","2005","hg/ha","26851","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2006","2006","hg/ha","28304","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2007","2007","hg/ha","28653","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2008","2008","hg/ha","28210","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2009","2009","hg/ha","29465","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2010","2010","hg/ha","28517","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2011","2011","hg/ha","30506","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2012","2012","hg/ha","30509","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2013","2013","hg/ha","31056","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2014","2014","hg/ha","31552","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2015","2015","hg/ha","31789","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2016","2016","hg/ha","32651","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2017","2017","hg/ha","33284","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2018","2018","hg/ha","33633","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2019","2019","hg/ha","34155","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2020","2020","hg/ha","34238","E","Estimated value"
